RequirementID,Category,Title,DesignRef,CodeRef,TestRef,VerificationMethod,Status
REQ-M130-GCS-CMD-001,Command,RBAC for commands,design/SystemArchitecture.md#access,src/safety/CommandAuthorization.cc,tests/core/CommandAuthorizationTest.cc,Test,Foundation
REQ-M130-GCS-CMD-002,Command,Command confirm dialog,design/SystemArchitecture.md#ui,src/views/,tests/qml/,Demonstration,Pending
REQ-M130-GCS-CMD-003,Command,Command ACK with timeout,design/SystemArchitecture.md#protocol,src/protocol/,tests/core/,Test,Pending
REQ-M130-GCS-CMD-004,Command,Range/rate/time validation,design/SystemArchitecture.md#safety,src/safety/CommandAuthorization.cc,tests/core/CommandAuthorizationTest.cc,Test,Foundation
REQ-M130-GCS-CMD-005,Command,Command audit logging,design/SystemArchitecture.md#logging,src/logging/AuditLogger.cc,tests/core/AuditLoggerTest.cc,Test,Foundation
REQ-M130-GCS-LOG-001,Logging,Log in/out messages,design/SystemArchitecture.md#logging,src/logging/FlightDataRecorder.cc,tests/core/FlightDataRecorderTest.cc,Test,Pending
REQ-M130-GCS-LOG-002,Logging,Multi-format FDR,design/SystemArchitecture.md#logging,src/logging/FlightDataRecorder.cc,tests/core/FlightDataRecorderTest.cc,Test,Pending
REQ-M130-GCS-LOG-003,Logging,FDR HMAC signing,design/SystemArchitecture.md#logging,src/logging/ChainOfCustody.cc,tests/core/ChainOfCustodyTest.cc,Test,Foundation
REQ-M130-GCS-LOG-004,Logging,Append-only audit,design/SystemArchitecture.md#logging,src/logging/AuditLogger.cc,tests/core/AuditLoggerTest.cc,Test,Foundation
REQ-M130-GCS-LOG-005,Logging,Post-flight PDF,design/SystemArchitecture.md#logging,tools/post-flight-report.py,tests/integration/,Demonstration,Pending
REQ-M130-GCS-LOG-006,Logging,UI screenshots,design/SystemArchitecture.md#logging,src/logging/,tests/integration/,Demonstration,Pending
REQ-M130-GCS-LOG-007,Logging,Replay 0.1x-100x,design/SystemArchitecture.md#logging,src/logging/,tests/integration/,Demonstration,Pending
REQ-M130-GCS-UI-001,UI,Multiple consoles,design/SystemArchitecture.md#ui,src/views/,tests/qml/,Demonstration,Pending
REQ-M130-GCS-UI-002,UI,DO-178C/MIL color scheme,design/SystemArchitecture.md#ui,src/ui/theme/,tests/qml/,Inspection,Existing
REQ-M130-GCS-UI-003,UI,Colorblind modes,design/SystemArchitecture.md#ui,src/ui/theme/,tests/qml/,Demonstration,Foundation
REQ-M130-GCS-UI-004,UI,ScreenTools sizing,design/SystemArchitecture.md#ui,src/views/,tests/qml/,Inspection,Existing
REQ-M130-GCS-UI-005,UI,QGCPalette colors,design/SystemArchitecture.md#ui,src/ui/theme/,tests/qml/,Inspection,Existing
REQ-M130-GCS-UI-006,UI,RTL + responsive,design/SystemArchitecture.md#ui,src/views/,tests/qml/,Demonstration,Pending
REQ-M130-GCS-UI-007,UI,Saved layouts multi-monitor,design/SystemArchitecture.md#ui,src/views/,tests/qml/,Demonstration,Pending
REQ-M130-GCS-UI-008,UI,Master caution in all consoles,design/SystemArchitecture.md#ui,src/ui/MasterCautionLight.qml,tests/core/SafetyAggregatorTest.cc,Inspection,Integrated
REQ-M130-GCS-SEC-001,Security,argon2id local auth,design/SystemArchitecture.md#security,src/access/UserManager.cc,tests/core/UserManagerTest.cc,Test,Pending
REQ-M130-GCS-SEC-002,Security,LDAP/AD optional,design/SystemArchitecture.md#security,src/access/UserManager.cc,tests/integration/,Test,Pending
REQ-M130-GCS-SEC-003,Security,TOTP for FTS,design/SystemArchitecture.md#security,src/access/UserManager.cc,tests/core/,Test,Pending
REQ-M130-GCS-SEC-004,Security,Session timeout,design/SystemArchitecture.md#security,src/access/SessionManager.cc,tests/core/SessionManagerTest.cc,Test,Foundation
REQ-M130-GCS-SEC-005,Security,Reauth for critical ops,design/SystemArchitecture.md#security,src/access/SessionManager.cc,tests/core/SessionManagerTest.cc,Test,Pending
REQ-M130-GCS-SEC-006,Security,TLS 1.3 relay,design/SystemArchitecture.md#security,src/protocol/,tests/integration/,Test,Pending
REQ-M130-GCS-SEC-007,Security,MAVLink 2 signing,design/SystemArchitecture.md#security,src/protocol/,tests/integration/,Test,Pending
REQ-M130-GCS-SEC-008,Security,Key rotation,design/SystemArchitecture.md#security,src/access/,tests/core/,Analysis,Pending
REQ-M130-GCS-SEC-009,Security,Keychain/HSM storage,design/SystemArchitecture.md#security,src/access/,tests/integration/,Analysis,Pending
REQ-M130-GCS-ACC-001,Access,RBAC enforcement,design/SystemArchitecture.md#access,src/safety/CommandAuthorization.cc,tests/core/CommandAuthorizationTest.cc,Test,Foundation
REQ-M130-GCS-ACC-002,Access,Permission change audit,design/SystemArchitecture.md#access,src/logging/AuditLogger.cc,tests/core/AuditLoggerTest.cc,Test,Foundation
REQ-M130-GCS-ACC-003,Access,Self-escalation forbidden,design/SystemArchitecture.md#access,src/access/UserManager.cc,tests/core/UserManagerTest.cc,Test,Pending
REQ-M130-GCS-ACC-004,Access,Account lockout,design/SystemArchitecture.md#access,src/access/UserManager.cc,tests/core/UserManagerTest.cc,Test,Pending
REQ-M130-GCS-QA-001,QA,Coverage >= 80%,plans/SQAP.md,CI,ci,Analysis,Foundation
REQ-M130-GCS-QA-002,QA,MC/DC on Safety Kernel,plans/SQAP.md,CI,ci,Analysis,Pending
REQ-M130-GCS-QA-003,QA,Lint gates,plans/SQAP.md,CI,ci,Analysis,Foundation
REQ-M130-GCS-QA-004,QA,Traceability auto-check,plans/SQAP.md,tools/validate-traceability.py,ci,Analysis,Foundation
REQ-M130-GCS-QA-005,QA,Independent review,plans/SCMP.md,CODEOWNERS,ci,Inspection,Foundation
